region	round_number	season	start_date	end_date	grade	measures	cohort
Newark	6	MOY->EOY	2027-02-22	2027-02-26	2	NWF,ORF	Both
Newark	6	MOY->EOY	2027-02-22	2027-02-26	3	NWF,ORF,MAZE	Both
Newark	6	MOY->EOY	2027-02-22	2027-02-26	4	ORF,MAZE	Both
Newark	6	MOY->EOY	2027-02-22	2027-02-26	5	ORF,MAZE	Both
Newark	6	MOY->EOY	2027-02-22	2027-02-26	6	ORF,MAZE	Both
Newark	6	MOY->EOY	2027-02-22	2027-02-26	7	ORF,MAZE	Both
Newark	6	MOY->EOY	2027-02-22	2027-02-26	8	ORF,MAZE	Both
Newark	7	MOY->EOY	2027-03-15	2027-03-19	0	NWF,WRF	Both
Newark	7	MOY->EOY	2027-03-15	2027-03-19	1	NWF,ORF	Both
Newark	7	MOY->EOY	2027-03-15	2027-03-19	2	NWF,ORF	Both
Newark	7	MOY->EOY	2027-03-15	2027-03-19	3	NWF,ORF	Both
Newark	7	MOY->EOY	2027-03-15	2027-03-19	4	ORF	Both
Newark	7	MOY->EOY	2027-03-15	2027-03-19	5	ORF	Well Below
Newark	7	MOY->EOY	2027-03-15	2027-03-19	6	ORF	Well Below
Newark	7	MOY->EOY	2027-03-15	2027-03-19	7	ORF	Well Below
Newark	7	MOY->EOY	2027-03-15	2027-03-19	8	ORF	Well Below
Newark	8	MOY->EOY	2027-05-03	2027-05-07	0	NWF,WRF	Both
Newark	8	MOY->EOY	2027-05-03	2027-05-07	1	ORF	Both
Newark	8	MOY->EOY	2027-05-03	2027-05-07	2	ORF	Both
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	0	PSF	Both
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	1	PSF	Both
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	2	NWF	Both
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	3	NWF,ORF	Well Below
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	4	ORF	Well Below
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	5	ORF	Well Below
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	6	ORF	Well Below
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	7	ORF	Well Below
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	8	ORF	Well Below
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	0	PSF	Both
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	1	PSF	Both
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	2	NWF	Both
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	3	NWF,ORF,MAZE	Both
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	4	ORF,MAZE	Both
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	5	ORF,MAZE	Both
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	6	ORF,MAZE	Both
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	7	ORF,MAZE	Both
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	8	ORF,MAZE	Both
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	0	PSF	Both
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	1	PSF,NWF	Both
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	2	NWF	Both
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	3	NWF,ORF	Well Below
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	4	ORF	Well Below
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	5	ORF	Well Below
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	6	ORF	Well Below
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	7	ORF	Well Below
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	8	ORF	Well Below
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	0	NWF	Both
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	1	NWF	Both
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	2	NWF,ORF	Both
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	3	NWF,ORF	Both
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	4	ORF	Both
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	5	ORF	Both
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	6	ORF	Both
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	7	ORF	Both
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	8	ORF	Both
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	0	NWF	Both
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	1	NWF	Both
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	2	NWF	Both
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	3	NWF,ORF	Well Below
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	4	ORF	Well Below
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	5	ORF	Well Below
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	6	ORF	Well Below
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	7	ORF	Well Below
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	8	ORF	Well Below
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	0	NWF	Both
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	1	NWF,ORF	Both
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	2	NWF,ORF	Both
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	3	NWF,ORF,MAZE	Both
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	4	ORF,MAZE	Both
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	5	ORF,MAZE	Both
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	6	ORF,MAZE	Both
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	7	ORF,MAZE	Both
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	8	ORF,MAZE	Both
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	0	NWF,WRF	Both
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	1	NWF,ORF	Both
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	2	NWF,ORF	Both
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	3	NWF,ORF	Both
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	4	ORF	Both
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	5	ORF	Well Below
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	6	ORF	Well Below
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	7	ORF	Well Below
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	8	ORF	Well Below
Paterson	8	MOY->EOY	2027-05-03	2027-05-07	0	NWF,WRF	Both
Paterson	8	MOY->EOY	2027-05-03	2027-05-07	1	ORF	Both
Paterson	8	MOY->EOY	2027-05-03	2027-05-07	2	ORF	Both
Camden	1	BOY->MOY	2026-09-28	2026-10-02	0	PSF	Both
Camden	1	BOY->MOY	2026-09-28	2026-10-02	1	PSF,NWF	Both
Camden	1	BOY->MOY	2026-09-28	2026-10-02	2	NWF	Both
Camden	1	BOY->MOY	2026-09-28	2026-10-02	3	NWF,ORF	Both
Camden	1	BOY->MOY	2026-09-28	2026-10-02	4	ORF	Both
Camden	1	BOY->MOY	2026-09-28	2026-10-02	5	ORF	Both
Camden	1	BOY->MOY	2026-09-28	2026-10-02	6	ORF	Both
Camden	1	BOY->MOY	2026-09-28	2026-10-02	7	ORF	Both
Camden	1	BOY->MOY	2026-09-28	2026-10-02	8	ORF	Both
Camden	2	BOY->MOY	2026-10-26	2026-10-30	0	PSF	Both
Camden	2	BOY->MOY	2026-10-26	2026-10-30	1	PSF,NWF	Both
Camden	2	BOY->MOY	2026-10-26	2026-10-30	2	NWF	Both
Camden	2	BOY->MOY	2026-10-26	2026-10-30	3	NWF,ORF	Well Below
Camden	2	BOY->MOY	2026-10-26	2026-10-30	4	ORF	Well Below
Camden	2	BOY->MOY	2026-10-26	2026-10-30	5	ORF	Well Below
Camden	2	BOY->MOY	2026-10-26	2026-10-30	6	ORF	Well Below
Camden	2	BOY->MOY	2026-10-26	2026-10-30	7	ORF	Well Below
Camden	2	BOY->MOY	2026-10-26	2026-10-30	8	ORF	Well Below
Camden	3	BOY->MOY	2026-11-16	2026-11-20	0	PSF	Both
Camden	3	BOY->MOY	2026-11-16	2026-11-20	1	PSF,NWF	Both
Camden	3	BOY->MOY	2026-11-16	2026-11-20	2	NWF	Both
Camden	3	BOY->MOY	2026-11-16	2026-11-20	3	NWF,ORF	Both
Camden	3	BOY->MOY	2026-11-16	2026-11-20	4	ORF	Both
Camden	3	BOY->MOY	2026-11-16	2026-11-20	5	ORF	Both
Camden	3	BOY->MOY	2026-11-16	2026-11-20	6	ORF	Both
Camden	3	BOY->MOY	2026-11-16	2026-11-20	7	ORF	Both
Camden	3	BOY->MOY	2026-11-16	2026-11-20	8	ORF	Both
Camden	4	MOY->EOY	2027-03-01	2027-03-05	0	NWF	Both
Camden	4	MOY->EOY	2027-03-01	2027-03-05	1	NWF	Both
Camden	4	MOY->EOY	2027-03-01	2027-03-05	2	NWF	Both
Camden	4	MOY->EOY	2027-03-01	2027-03-05	3	ORF	Well Below
Camden	4	MOY->EOY	2027-03-01	2027-03-05	4	ORF	Well Below
Camden	4	MOY->EOY	2027-03-01	2027-03-05	5	ORF	Well Below
Camden	4	MOY->EOY	2027-03-01	2027-03-05	6	ORF	Well Below
Camden	4	MOY->EOY	2027-03-01	2027-03-05	7	ORF	Well Below
Camden	4	MOY->EOY	2027-03-01	2027-03-05	8	ORF	Well Below
Camden	5	MOY->EOY	2027-04-05	2027-04-09	0	NWF	Both
Camden	5	MOY->EOY	2027-04-05	2027-04-09	1	NWF,ORF	Both
Camden	5	MOY->EOY	2027-04-05	2027-04-09	2	NWF,ORF	Both
Camden	5	MOY->EOY	2027-04-05	2027-04-09	3	ORF	Both
Camden	5	MOY->EOY	2027-04-05	2027-04-09	4	ORF	Both
Camden	5	MOY->EOY	2027-04-05	2027-04-09	5	ORF	Both
Camden	5	MOY->EOY	2027-04-05	2027-04-09	6	ORF	Both
Camden	5	MOY->EOY	2027-04-05	2027-04-09	7	ORF	Both
Camden	5	MOY->EOY	2027-04-05	2027-04-09	8	ORF	Both
Camden	6	MOY->EOY	2027-05-03	2027-05-07	0	NWF	Both
Camden	6	MOY->EOY	2027-05-03	2027-05-07	1	NWF,ORF	Both
Camden	6	MOY->EOY	2027-05-03	2027-05-07	2	NWF,ORF	Both
Miami	1	BOY->MOY	2026-10-05	2026-10-09	0	PSF,NWF	Both
Miami	1	BOY->MOY	2026-10-05	2026-10-09	1	NWF	Both
Miami	1	BOY->MOY	2026-10-05	2026-10-09	2	NWF,ORF	Both
Miami	1	BOY->MOY	2026-10-05	2026-10-09	3	NWF,ORF	Both
Miami	1	BOY->MOY	2026-10-05	2026-10-09	4	ORF	Both
Miami	1	BOY->MOY	2026-10-05	2026-10-09	5	ORF	Both
Miami	1	BOY->MOY	2026-10-05	2026-10-09	6	ORF	Both
Miami	1	BOY->MOY	2026-10-05	2026-10-09	7	ORF	Both
Miami	1	BOY->MOY	2026-10-05	2026-10-09	8	ORF	Both
Miami	2	BOY->MOY	2026-10-26	2026-11-06	0	PSF,NWF	Well Below
Miami	2	BOY->MOY	2026-10-26	2026-11-06	1	NWF,ORF	Well Below
Miami	2	BOY->MOY	2026-10-26	2026-11-06	2	NWF,ORF	Well Below
Miami	2	BOY->MOY	2026-10-26	2026-11-06	3	NWF,ORF	Well Below
Miami	2	BOY->MOY	2026-10-26	2026-11-06	4	ORF	Well Below
Miami	2	BOY->MOY	2026-10-26	2026-11-06	5	ORF	Well Below
Miami	2	BOY->MOY	2026-10-26	2026-11-06	6	ORF	Well Below
Miami	2	BOY->MOY	2026-10-26	2026-11-06	7	ORF	Well Below
Miami	2	BOY->MOY	2026-10-26	2026-11-06	8	ORF	Well Below
Miami	3	BOY->MOY	2026-11-09	2026-11-13	0	PSF,NWF	Both
Miami	3	BOY->MOY	2026-11-09	2026-11-13	1	NWF,ORF	Both
Miami	3	BOY->MOY	2026-11-09	2026-11-13	2	NWF,ORF	Both
Miami	3	BOY->MOY	2026-11-09	2026-11-13	3	NWF,ORF	Both
Miami	3	BOY->MOY	2026-11-09	2026-11-13	4	ORF	Both
Miami	3	BOY->MOY	2026-11-09	2026-11-13	5	ORF	Both
Miami	3	BOY->MOY	2026-11-09	2026-11-13	6	ORF	Both
Miami	3	BOY->MOY	2026-11-09	2026-11-13	7	ORF	Both
Miami	3	BOY->MOY	2026-11-09	2026-11-13	8	ORF	Both
Miami	4	BOY->MOY	2026-11-30	2026-12-04	0	PSF,NWF	Well Below
Miami	4	BOY->MOY	2026-11-30	2026-12-04	1	NWF,ORF	Well Below
Miami	4	BOY->MOY	2026-11-30	2026-12-04	2	NWF,ORF	Well Below
Miami	4	BOY->MOY	2026-11-30	2026-12-04	3	NWF,ORF	Well Below
Miami	4	BOY->MOY	2026-11-30	2026-12-04	4	ORF	Well Below
Miami	4	BOY->MOY	2026-11-30	2026-12-04	5	ORF	Well Below
Miami	4	BOY->MOY	2026-11-30	2026-12-04	6	ORF	Well Below
Miami	4	BOY->MOY	2026-11-30	2026-12-04	7	ORF	Well Below
Miami	4	BOY->MOY	2026-11-30	2026-12-04	8	ORF	Well Below
Miami	5	BOY->MOY	2026-12-14	2026-12-18	0	PSF,NWF	Both
Miami	5	BOY->MOY	2026-12-14	2026-12-18	1	NWF,ORF	Both
Miami	5	BOY->MOY	2026-12-14	2026-12-18	2	NWF,ORF	Both
Miami	5	BOY->MOY	2026-12-14	2026-12-18	3	NWF,ORF	Both
Miami	5	BOY->MOY	2026-12-14	2026-12-18	4	ORF	Both
Miami	5	BOY->MOY	2026-12-14	2026-12-18	5	ORF	Both
Miami	5	BOY->MOY	2026-12-14	2026-12-18	6	ORF	Both
Miami	5	BOY->MOY	2026-12-14	2026-12-18	7	ORF	Both
Miami	5	BOY->MOY	2026-12-14	2026-12-18	8	ORF	Both
Miami	6	MOY->EOY	2027-02-01	2027-02-05	0	PSF,NWF	Well Below
Miami	6	MOY->EOY	2027-02-01	2027-02-05	1	ORF	Well Below
Miami	6	MOY->EOY	2027-02-01	2027-02-05	2	ORF	Well Below
Miami	6	MOY->EOY	2027-02-01	2027-02-05	3	ORF	Well Below
Miami	6	MOY->EOY	2027-02-01	2027-02-05	4	ORF,MAZE	Well Below
Miami	6	MOY->EOY	2027-02-01	2027-02-05	5	ORF,MAZE	Well Below
Miami	6	MOY->EOY	2027-02-01	2027-02-05	6	ORF,MAZE	Well Below
Miami	6	MOY->EOY	2027-02-01	2027-02-05	7	ORF,MAZE	Well Below
Miami	6	MOY->EOY	2027-02-01	2027-02-05	8	ORF,MAZE	Well Below
Miami	7	MOY->EOY	2027-02-15	2027-02-19	0	PSF,NWF	Both
Miami	7	MOY->EOY	2027-02-15	2027-02-19	1	ORF	Both
Miami	7	MOY->EOY	2027-02-15	2027-02-19	2	ORF	Both
Miami	7	MOY->EOY	2027-02-15	2027-02-19	3	ORF	Both
Miami	7	MOY->EOY	2027-02-15	2027-02-19	4	ORF,MAZE	Both
Miami	7	MOY->EOY	2027-02-15	2027-02-19	5	ORF,MAZE	Both
Miami	7	MOY->EOY	2027-02-15	2027-02-19	6	ORF,MAZE	Both
Miami	7	MOY->EOY	2027-02-15	2027-02-19	7	ORF,MAZE	Both
Miami	7	MOY->EOY	2027-02-15	2027-02-19	8	ORF,MAZE	Both
Miami	8	MOY->EOY	2027-03-01	2027-03-05	0	PSF,NWF	Well Below
Miami	8	MOY->EOY	2027-03-01	2027-03-05	1	ORF	Well Below
Miami	8	MOY->EOY	2027-03-01	2027-03-05	2	ORF	Well Below
Miami	8	MOY->EOY	2027-03-01	2027-03-05	3	ORF	Well Below
Miami	8	MOY->EOY	2027-03-01	2027-03-05	4	ORF,MAZE	Well Below
Miami	8	MOY->EOY	2027-03-01	2027-03-05	5	ORF,MAZE	Well Below
Miami	8	MOY->EOY	2027-03-01	2027-03-05	6	ORF,MAZE	Well Below
Miami	8	MOY->EOY	2027-03-01	2027-03-05	7	ORF,MAZE	Well Below
Miami	8	MOY->EOY	2027-03-01	2027-03-05	8	ORF,MAZE	Well Below
Miami	9	MOY->EOY	2027-03-15	2027-03-19	0	PSF,NWF	Both
Miami	9	MOY->EOY	2027-03-15	2027-03-19	1	ORF	Both
Miami	9	MOY->EOY	2027-03-15	2027-03-19	2	ORF	Both
Miami	9	MOY->EOY	2027-03-15	2027-03-19	3	ORF	Both
Miami	9	MOY->EOY	2027-03-15	2027-03-19	4	ORF,MAZE	Both
Miami	9	MOY->EOY	2027-03-15	2027-03-19	5	ORF,MAZE	Both
Miami	9	MOY->EOY	2027-03-15	2027-03-19	6	ORF,MAZE	Both
Miami	9	MOY->EOY	2027-03-15	2027-03-19	7	ORF,MAZE	Both
Miami	9	MOY->EOY	2027-03-15	2027-03-19	8	ORF,MAZE	Both
Miami	10	MOY->EOY	2027-04-05	2027-04-09	0	PSF,NWF	Well Below
Miami	10	MOY->EOY	2027-04-05	2027-04-09	1	ORF	Well Below
Miami	10	MOY->EOY	2027-04-05	2027-04-09	2	ORF	Well Below
Miami	10	MOY->EOY	2027-04-05	2027-04-09	3	ORF	Well Below
Miami	10	MOY->EOY	2027-04-05	2027-04-09	4	ORF,MAZE	Well Below
Miami	10	MOY->EOY	2027-04-05	2027-04-09	5	ORF,MAZE	Well Below
Miami	10	MOY->EOY	2027-04-05	2027-04-09	6	ORF,MAZE	Well Below
Miami	10	MOY->EOY	2027-04-05	2027-04-09	7	ORF,MAZE	Well Below
Miami	10	MOY->EOY	2027-04-05	2027-04-09	8	ORF,MAZE	Well Below
Miami	11	MOY->EOY	2027-04-19	2027-04-23	0	PSF,NWF	Both
Miami	11	MOY->EOY	2027-04-19	2027-04-23	1	ORF	Both
Miami	11	MOY->EOY	2027-04-19	2027-04-23	2	ORF	Both
Miami	11	MOY->EOY	2027-04-19	2027-04-23	3	ORF	Both
Miami	11	MOY->EOY	2027-04-19	2027-04-23	4	ORF,MAZE	Both
Miami	11	MOY->EOY	2027-04-19	2027-04-23	5	ORF,MAZE	Both
Miami	11	MOY->EOY	2027-04-19	2027-04-23	6	ORF,MAZE	Both
Miami	11	MOY->EOY	2027-04-19	2027-04-23	7	ORF,MAZE	Both
Miami	11	MOY->EOY	2027-04-19	2027-04-23	8	ORF,MAZE	Both
